like1,parlr_T,parlr_RRR,parlr_RH,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,chain
-165.6,-0.006184,0.0001153,0.00289,1.551,0.2035,0.7544,0.6216,22.61,4.457,3836.0,3884.0,3936.0,3936.0,3884.0,3936.0,3984.0,4036.0,4036.0,4036.0,4036.0,4036.0,3684.0,3936.0,4036.0,4036.0,4084.0,3684.0,3836.0,3884.0,3984.0,4036.0,4084.0,4084.0,4084.0,3884.0,3936.0,3984.0,4036.0,4036.0,4084.0,4084.0,3684.0,3884.0,4036.0,3936.0,4036.0,4084.0,4084.0,4084.0,3684.0,3684.0,3884.0,3884.0,3936.0,3684.0,3884.0,3936.0,4084.0,4084.0,4084.0,3736.0,3836.0,3936.0,3984.0,4036.0,4084.0,0.0
-156.4,-0.00614,0.0001638,0.02058,1.564,0.2118,0.755,0.626,22.34,3.83,3836.0,3936.0,3936.0,3936.0,3884.0,3936.0,3984.0,3984.0,4036.0,4036.0,4036.0,4036.0,3836.0,3936.0,4036.0,4036.0,4084.0,3684.0,3884.0,3884.0,3984.0,4036.0,3984.0,4084.0,4084.0,3884.0,3936.0,3984.0,4036.0,4036.0,4084.0,4084.0,3684.0,3884.0,4036.0,3936.0,4036.0,4036.0,4084.0,4084.0,3684.0,3684.0,3884.0,3884.0,3936.0,3836.0,3884.0,3936.0,4036.0,4084.0,4084.0,3736.0,3836.0,3936.0,3984.0,4036.0,4084.0,0.0
-146.2,-0.00629,0.0001614,0.02544,1.573,0.1997,0.7515,0.6216,21.69,5.594,3884.0,3936.0,3936.0,3984.0,3884.0,3984.0,3984.0,4036.0,4036.0,4084.0,4084.0,4084.0,3884.0,3984.0,4084.0,4084.0,4084.0,3836.0,3884.0,3936.0,4036.0,4084.0,4084.0,4084.0,4084.0,3884.0,3984.0,4036.0,4036.0,4084.0,4084.0,4084.0,3684.0,3936.0,4084.0,3936.0,4036.0,4084.0,4084.0,4084.0,3936.0,3684.0,3884.0,3936.0,3936.0,3836.0,3936.0,3984.0,4084.0,4084.0,4084.0,3784.0,3884.0,3936.0,4036.0,4084.0,4084.0,0.0
-153.9,-0.006214,0.000169,0.0413,1.56,0.2181,0.744,0.609,21.45,7.47,3884.0,3984.0,3984.0,4036.0,3936.0,4036.0,4036.0,4084.0,4084.0,4084.0,4136.0,4136.0,3884.0,4036.0,4136.0,4136.0,4136.0,3884.0,3936.0,3984.0,4084.0,4136.0,4136.0,4136.0,4136.0,3936.0,4036.0,4084.0,4084.0,4136.0,4136.0,4136.0,3684.0,3936.0,4136.0,3984.0,4084.0,4136.0,4136.0,4136.0,4136.0,3684.0,3884.0,3936.0,3984.0,3884.0,3936.0,4036.0,4136.0,4136.0,4136.0,3784.0,3936.0,3984.0,4036.0,4136.0,4136.0,0.0
-162.0,-0.006817,0.0001483,0.03885,1.547,0.2345,0.73,0.6045,21.6,7.09,3936.0,4036.0,4084.0,4136.0,3984.0,4084.0,4136.0,4136.0,4136.0,4136.0,4184.0,4184.0,3936.0,4084.0,4136.0,4184.0,4184.0,3936.0,3984.0,4036.0,4136.0,4136.0,4184.0,4184.0,4184.0,3984.0,4084.0,4136.0,4136.0,4184.0,4184.0,4184.0,3684.0,3984.0,4136.0,4036.0,4136.0,4136.0,4184.0,4184.0,4136.0,3884.0,3936.0,3984.0,4084.0,3936.0,4036.0,4084.0,4136.0,4184.0,4184.0,3784.0,3936.0,4036.0,4084.0,4136.0,4184.0,0.0
-148.1,-0.006916,0.0001565,0.0476,1.545,0.2351,0.7363,0.6055,19.69,7.63,3936.0,4036.0,4084.0,4084.0,3984.0,4084.0,4136.0,4136.0,4136.0,4136.0,4136.0,4136.0,3936.0,4084.0,4136.0,4136.0,4136.0,3936.0,3984.0,4036.0,4136.0,4136.0,4136.0,4136.0,4136.0,3984.0,4084.0,4136.0,4136.0,4136.0,4136.0,4136.0,3684.0,3984.0,4136.0,4036.0,4136.0,4136.0,4136.0,4136.0,4136.0,3884.0,3936.0,3984.0,4036.0,3936.0,3984.0,4084.0,4136.0,4136.0,4136.0,3784.0,3936.0,4036.0,4084.0,4136.0,4136.0,0.0
-164.8,-0.00652,0.0001169,0.04614,1.551,0.2379,0.73,0.6035,19.2,7.04,3936.0,4036.0,4084.0,4084.0,3984.0,4084.0,4136.0,4136.0,4136.0,4136.0,4184.0,4184.0,3936.0,4036.0,4136.0,4184.0,4184.0,3884.0,3936.0,3984.0,4136.0,4136.0,4184.0,4184.0,4184.0,3984.0,4084.0,4136.0,4136.0,4184.0,4184.0,4184.0,3684.0,3936.0,4136.0,4036.0,4136.0,4136.0,4184.0,4184.0,4136.0,3684.0,3936.0,3936.0,4036.0,3884.0,3984.0,4084.0,4136.0,4184.0,4184.0,3784.0,3936.0,4036.0,4084.0,4136.0,4184.0,0.0
-160.6,-0.00636,0.0001363,0.0601,1.555,0.2438,0.7236,0.6123,19.75,6.33,3936.0,4036.0,4084.0,4136.0,3936.0,4084.0,4136.0,4136.0,4136.0,4184.0,4184.0,4184.0,3936.0,4084.0,4184.0,4184.0,4184.0,3936.0,3936.0,3984.0,4136.0,4136.0,4184.0,4184.0,4184.0,3984.0,4084.0,4136.0,4136.0,4184.0,4184.0,4184.0,3684.0,3936.0,4136.0,4036.0,4136.0,4184.0,4184.0,4184.0,3684.0,3684.0,3936.0,3936.0,4036.0,3884.0,3984.0,4084.0,4136.0,4184.0,4184.0,3784.0,3936.0,4036.0,4084.0,4136.0,4184.0,0.0
-162.9,-0.006363,0.0001386,0.0723,1.549,0.2493,0.7217,0.61,20.84,7.152,3936.0,4036.0,4084.0,4136.0,3984.0,4136.0,4136.0,4136.0,4136.0,4184.0,4184.0,4184.0,3936.0,4084.0,4184.0,4184.0,4184.0,3936.0,3936.0,4036.0,4136.0,4184.0,4184.0,4184.0,4184.0,3984.0,4084.0,4136.0,4136.0,4184.0,4184.0,4184.0,3684.0,3936.0,4184.0,4036.0,4136.0,4184.0,4184.0,4184.0,3684.0,3684.0,3884.0,3936.0,4036.0,3884.0,3984.0,4084.0,4184.0,4184.0,4184.0,3784.0,3936.0,4036.0,4136.0,4184.0,4184.0,0.0
-182.5,-0.006214,0.0001389,0.0813,1.544,0.2588,0.719,0.6187,20.58,6.54,3936.0,4036.0,4084.0,4136.0,3936.0,4136.0,4136.0,4136.0,4136.0,4184.0,4184.0,4184.0,3936.0,4084.0,4184.0,4184.0,4184.0,3684.0,3684.0,3984.0,4136.0,4184.0,4184.0,4184.0,4184.0,3984.0,4084.0,4136.0,4136.0,4184.0,4184.0,4184.0,3684.0,3684.0,4184.0,4036.0,4136.0,4184.0,4184.0,4184.0,3684.0,3684.0,3684.0,3936.0,4036.0,3684.0,3984.0,4084.0,4184.0,4184.0,4184.0,3736.0,3936.0,4036.0,4084.0,4184.0,4184.0,0.0
