like1,parlr_T,parlr_RRR,parlr_RH,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,parcenter_snow_transfer_function,parroughness_fresh_snow,parroughness_ice,parroughness_firn,simulation_0,chain
1.0,-0.005708662,0.0005163944999999999,0.082382046,0.22490433,0.6759534,0.40091673,4.2859050000000005,3.488202,0.6318216,0.21288991,0.4949134,4.505692,-5.304456,1.0
1.0,-0.0062073630000000005,0.00051380025,0.0813431,0.22261861,0.67271966,0.40479723,4.667177,3.6334487999999996,0.67853785,0.21678601,0.50714195,4.629743599999999,-5.3374467,1.0
1.0,-0.0067060646,0.0005112060500000001,0.08030415,0.22033289999999997,0.66948587,0.40867776,5.04845,3.7786956,0.7252542,0.22068211,0.51937056,4.7537956,-5.3852816,1.0
1.0,-0.006795234,0.0005086118499999999,0.07926521,0.21804719,0.66625214,0.4125583,5.429723,3.9239422999999993,0.7719705,0.22457822,0.5315991,4.8778477,-5.444884,1.0
1.0,-0.0062965327,0.00050601765,0.07822626,0.21576147,0.66301835,0.4164388,5.8109956,4.069189,0.8186868,0.22847432,0.54382765,5.0018997,-5.5165515,1.0
1.0,-0.005797831999999999,0.00050342345,0.07718731,0.21347576,0.65978456,0.42031932,6.1922684,4.2144356,0.8654030999999999,0.23237042,0.55605626,5.1259513,-5.5939407,1.0
1.0,-0.005299130500000001,0.00050082925,0.07614836,0.21119004,0.6565508000000001,0.42419985,6.5735410000000005,4.359682599999999,0.91211945,0.23626652,0.5682848,5.2500032999999995,-5.6796503,1.0
1.0,-0.005199571,0.000498235,0.075109415,0.20890433,0.65331703,0.42808035,6.954814,4.504929,0.9588357,0.24016263,0.5805134,5.3740554000000005,-5.770794400000001,1.0
1.0,-0.0056982725,0.0004956408,0.07407047,0.20661862,0.65191674,0.43196088,7.3360863,4.650176,1.005552,0.24405873,0.59274197,5.4981074,-5.829306,1.0
1.0,-0.0061969734,0.0004930466,0.073031515,0.20433289999999998,0.6551505,0.43584138,7.717359,4.795422599999999,1.0522684,0.24795485,0.6049705,5.6221595,-5.7908545,1.0
1.0,-0.006695674699999999,0.0004904524,0.07199257,0.20204718,0.65838426,0.4397219,8.098632,4.9406695,1.0989847,0.25185093,0.6171991,5.746211,-5.756599,1.0
1.0,-0.006805624000000001,0.0004878582,0.07095362,0.19976148,0.661618,0.44360244,8.479905,5.085916,1.1457008999999998,0.25574705,0.6294276999999999,5.870263,-5.7189865,1.0
1.0,-0.0063069225,0.00048526397,0.069914676,0.19747576,0.6648518,0.44748294,8.861177,5.231163,1.1924173,0.25964314,0.6416562,5.985685,-5.683951,1.0
1.0,-0.005808221,0.00048266977,0.06887572,0.19519004,0.6680856,0.45136347,9.24245,5.37641,1.2391336000000002,0.26353925,0.6538848,5.861633,-5.6462216,1.0
1.0,-0.00530952,0.00048007557,0.06783678,0.19290434,0.6713193000000001,0.455244,9.623723,5.521656500000001,1.2858498999999999,0.26743537,0.6661134,5.737581,-5.6100917,1.0
1.0,-0.0051891813,0.00047748137,0.06679783,0.19061862,0.6745531,0.4591245,10.004995,5.6669035,1.3325663,0.27133146,0.678342,5.613529,-5.5727459999999995,1.0
1.0,-0.0056878827,0.00047488714000000005,0.065758884,0.1883329,0.6777868,0.46300504,10.386269,5.81215,1.3792826,0.27522758,0.69057053,5.489477,-5.5391216,1.0
1.0,-0.006186584,0.00047229294,0.06471994,0.18604718,0.6810206,0.46688557,10.767541,5.957397,1.4259988000000001,0.27912366,0.6952009,5.365425,-5.4931817,1.0
1.0,-0.0066852854,0.00046969875,0.06368098400000001,0.18376148,0.6842544,0.47076607,11.148814,6.1026435,1.4727151000000003,0.28301978,0.6829723000000001,5.241373,-5.4620275000000005,1.0
1.0,-0.0068160133,0.00046710452000000007,0.06264204,0.18147576,0.68748814,0.4746465999999999,11.530086500000001,6.2478905,1.5194315,0.28691587,0.67074376,5.117321,-5.427596,1.0
1.0,-0.006317311999999999,0.00046451032,0.06160309,0.18080996,0.6907219,0.4785271,11.911359,6.393137,1.5661478000000002,0.290812,0.65851516,4.9932694,-5.375533,1.0
1.0,-0.005818611,0.00046191612,0.06056414,0.18309566,0.69395566,0.48240763,12.292632000000001,6.538384,1.6128641000000001,0.29470807,0.6462866,4.869217400000001,-5.287828,1.0
1.0,-0.0053199097,0.00045932190000000004,0.059525195999999995,0.18538138,0.69718945,0.48628816,12.673903999999999,6.6836305,1.6595805000000001,0.2986042,0.63405806,4.7451653,-5.1986165,1.0
1.0,-0.005178792,0.00045672769999999995,0.058486246,0.1876671,0.70042324,0.49016866,13.055178,6.8288774000000005,1.7062967,0.29749972,0.62182945,4.6211133,-5.1073494,1.0
1.0,-0.005677493299999999,0.00045413349999999996,0.05744730000000001,0.18995279999999998,0.703657,0.4940492,13.43645,6.974124000000001,1.7530130000000002,0.29360359999999996,0.6096009,4.4970612999999995,-5.0163918,1.0
1.0,-0.006176194,0.0004515393,0.056408353,0.19223852,0.70689076,0.49792972,13.817723,7.119371000000001,1.7997293,0.2897075,0.5973723000000001,4.3730097,-4.9357195,1.0
1.0,-0.006674895500000001,0.00044894507000000006,0.055369403,0.19452424,0.7101244999999999,0.50181025,14.198996,7.2646174,1.8464456999999999,0.2858114,0.58514374,4.2489576,-4.8488207,1.0
1.0,-0.006826403000000001,0.00044635087,0.054330457,0.19680995,0.7133583,0.50569075,14.580267999999998,7.4098644,1.8931619999999998,0.28191528,0.5729152,4.124905600000001,-4.7652864,1.0
1.0,-0.0063277017000000005,0.00044375667,0.053291507,0.19909567,0.7165921,0.50957125,14.961541,7.555111,1.9398783,0.2780192,0.5606866,4.000853500000001,-4.692481,1.0
1.0,-0.0058290004,0.0004411624400000001,0.05225256,0.20138139,0.7198258000000001,0.5134518,15.3428135,7.7003580000000005,1.9865946,0.27412307,0.54845804,3.8768017,-4.5903745,1.0
1.0,-0.005330299,0.00043856824,0.05121361,0.20366710000000002,0.7230595999999999,0.5173323000000001,15.724086999999999,7.845604400000001,1.9666891,0.270227,0.5362295,3.7527497000000003,-4.510575,1.0
1.0,-0.005168402,0.00043597404,0.050174665,0.20595281,0.7262933000000001,0.5212127999999999,16.10536,7.990851400000001,1.9199727999999998,0.26633087,0.5240009,3.6286979,-4.4423203,1.0
1.0,-0.0056671034999999995,0.0004333798,0.049135715,0.20823853,0.7295271,0.5250933000000001,16.486631,8.136097999999999,1.8732563999999998,0.26243478,0.51177233,3.5046458,-4.3791695,1.0
1.0,-0.006165805,0.0004307856,0.04809677,0.21052425,0.7327609,0.5289739,16.867905,8.281344,1.8265401,0.25853866,0.49954376,3.3805940000000003,-4.319592500000001,1.0
1.0,-0.006664506,0.00042819142,0.04705782,0.21280995,0.73599464,0.5328544,17.249178,8.426592,1.7798238999999998,0.25464258,0.48731518,3.2565419999999996,-4.24249,1.0
1.0,-0.0068367925,0.00042559722000000004,0.046018872,0.21509567,0.7392284,0.5367349,17.63045,8.571838,1.7331076,0.25074646,0.4750866,3.1324902000000003,-4.1687927,1.0
1.0,-0.006338091,0.00042300300000000003,0.044979925999999996,0.21738139,0.74246216,0.54061544,18.011723,8.717085,1.6863912,0.24685036,0.46285805,3.008438,-4.0889874,1.0
1.0,-0.00583939,0.0004204088,0.043940976,0.21966709,0.74569595,0.54449594,18.392996,8.862331,1.6396749,0.24295425,0.45062947,2.884386,-4.00703,1.0
1.0,-0.005340689,0.0004178146,0.04290203,0.22195281,0.7489296999999999,0.54837644,18.77427,8.992421,1.5929586000000002,0.23905815,0.4384009,2.7603343,-3.9197699999999998,1.0
1.0,-0.0051580127,0.00041522036,0.04186308,0.22423853,0.75216347,0.552257,19.15554,8.847175,1.5462421999999998,0.23516205,0.42617232,2.6362822,-3.7823743999999997,1.0
1.0,-0.005656714,0.00041262616000000004,0.040824134,0.22652423,0.75539726,0.5561375,19.536814,8.701928,1.499526,0.23126595,0.41394374,2.5122304,-3.5980892,1.0
1.0,-0.006155415,0.00041003196000000006,0.039785184,0.22880995,0.758631,0.560018,19.918087,8.556681,1.4528097,0.22736983,0.4017152,2.3881783,-3.3420205000000003,1.0
1.0,-0.0066541163,0.00040743774,0.038746237999999995,0.23109567,0.7618648,0.56389856,20.299357999999998,8.411434,1.4060933999999998,0.22347373,0.3894866,2.2641263,-3.0720177000000004,1.0
1.0,-0.0068471823,0.00040484354,0.037707288,0.23338138,0.7650985,0.56777906,20.680632,8.266188,1.359377,0.21957763,0.37725803,2.1400745,-2.822466,1.0
1.0,-0.006348481,0.00040224934000000003,0.03666834,0.23566710000000002,0.7683323000000001,0.57165956,21.061905,8.120941,1.3126607,0.21568152,0.36502945,2.0160223999999998,-2.538516,1.0
1.0,-0.0058497796,0.00039965513999999994,0.03562939,0.23795281,0.7715661,0.5755401,21.443178,7.975694,1.2659444,0.21178542,0.35280090000000003,2.1280292999999997,-2.2405279,1.0
1.0,-0.005351078,0.00039706089999999995,0.034590445,0.24023853,0.7747998,0.5794206000000001,21.82445,7.830447,1.2192281,0.20788932,0.34057233,2.2520814,-1.9541223,1.0
1.0,-0.005147623,0.00039446669999999997,0.0335515,0.24252424,0.7780335999999999,0.5833010999999999,22.205723000000003,7.6852007,1.1725118,0.20399322,0.32834375,2.3761334,-1.6789977999999999,1.0
1.0,-0.005646324300000001,0.0003918725,0.03251255,0.24480996,0.78126734,0.5871816,22.586996,7.5399537,1.1257955,0.20009711,0.31611517,2.5001853,-1.4548565,1.0
1.0,-0.0061450256,0.00038927828000000003,0.031473602999999996,0.24709567,0.78450114,0.5910622,22.968267,7.394707,1.0790792,0.19620101,0.30388662,2.6242373,-1.2548628000000002,1.0
1.0,-0.0066437269999999994,0.00038668409,0.030434653,0.24938138,0.7877349,0.5949426999999999,22.65046,7.249460000000001,1.0323628,0.1923049,0.29165804,2.7482889999999998,-1.0961065,1.0
1.0,-0.0068575717000000005,0.0003840899,0.029395707000000004,0.25166710000000003,0.79096866,0.5988232,22.269185999999998,7.1042137,0.98564655,0.18840879,0.27942947,2.8723412,-0.9605815000000001,1.0
1.0,-0.0063588709999999994,0.00038149566,0.028356759,0.2539528,0.79420245,0.60270375,21.887913,6.9589667,0.9389301999999999,0.18451269,0.2747991,2.996393,-0.75019103,1.0
1.0,-0.005860169399999999,0.00037890146,0.02731781,0.25623852,0.7974361999999999,0.60658425,21.506641000000002,6.81372,0.89221394,0.18061659,0.2870277,3.120445,-0.53707737,1.0
1.0,-0.005361468,0.00037630726000000003,0.026278863,0.25852424,0.80066997,0.61046475,21.125367999999998,6.6684732,0.8454976000000001,0.17672049,0.29925624,3.244497,-0.3405579,1.0
1.0,-0.0051372334999999995,0.00037371306000000005,0.025239915,0.26080996,0.80390376,0.6143453000000001,20.744095,6.5232267,0.7987813,0.17282438,0.3114848,3.3685489,-0.17227885,1.0
1.0,-0.005635935,0.00037111883,0.024200967,0.26309568,0.8071375,0.6182258,20.362823000000002,6.377979799999999,0.752065,0.16892828,0.3237134,3.492601,-0.09026096,1.0
1.0,-0.006134636,0.00036852463,0.023162019,0.26538140000000005,0.8103713,0.6221063,19.98155,6.2327332,0.7053486999999999,0.16503218,0.33594197,3.6166527000000004,-0.011589981999999999,1.0
1.0,-0.006633337,0.00036593043,0.02212307,0.26766708,0.813605,0.6259869,19.600277,6.0874863,0.65863234,0.16113608,0.34817055,3.7407047999999996,0.020397646000000002,1.0
1.0,-0.0068679615,0.00036333620000000003,0.021084122,0.2699528,0.8168388000000001,0.6298674,19.219004,5.9422398,0.61191607,0.15723997,0.3603991,3.8647568,0.086777054,1.0
1.0,-0.00636926,0.000360742,0.020045174,0.27223852,0.8200726,0.6337479,18.837732,5.796993,0.56519973,0.15334386,0.37262768,3.9888086000000005,0.24774034,1.0
1.0,-0.005870559,0.0003581478,0.019006228,0.27452424,0.8233063,0.63762844,18.456459,5.651746299999999,0.5184834,0.15055224,0.38485625,4.112860700000001,0.40160063,1.0
1.0,-0.0053718574,0.00035555358,0.01796728,0.27680996,0.8265401,0.64150894,18.075186,5.5064993,0.47176713,0.15444835,0.39708483,4.2369127,0.5682356,1.0
1.0,-0.0051268437,0.00035295937999999997,0.016928332,0.27909568,0.82977384,0.64538944,17.693914000000003,5.361253,0.4250508,0.15834445,0.40931338,4.3609643,0.6689696999999999,1.0
1.0,-0.005625545,0.00035036518,0.015889384,0.28138137,0.83300763,0.64873004,17.312641,5.216006,0.37833449999999996,0.16224055,0.42154196,4.4850163,0.67174125,1.0
1.0,-0.0061242464,0.00034777098,0.014850436000000002,0.2836671,0.8362414,0.64484954,16.931368,5.070759,0.33161820000000003,0.16613665,0.43377054,4.6090684,0.626602,1.0
1.0,-0.0066229478,0.00034517676,0.013811488,0.2859528,0.83947515,0.640969,16.550095000000002,4.9255123,0.28490186,0.17003275,0.44599912,4.733120400000001,0.59518737,1.0
1.0,-0.0068783509999999996,0.00034258256,0.01277254,0.28823853,0.84270895,0.6370885000000001,16.168823,4.7802653,0.23818555,0.17392887,0.45822766,4.8571725,0.58001584,1.0
1.0,-0.00637965,0.00033998836,0.011733592,0.29052424,0.8459426999999999,0.633208,15.78755,4.635019000000001,0.19146924,0.17782497,0.47045624,4.981224,0.6438933000000001,1.0
1.0,-0.0058809486,0.00033739413,0.010694644,0.29280996,0.84917647,0.6293274,15.406277,4.489772,0.14475293,0.18172108,0.48268482,5.105276,0.71000546,1.0
1.0,-0.005382247299999999,0.00033479992999999996,0.009655696,0.29509568,0.85241026,0.6254469,15.025004000000001,4.3445253,0.098036624,0.18561718,0.4949134,5.229328,0.77728754,1.0
1.0,-0.0051164543,0.00033220573,0.008616748,0.29738137,0.8556440000000001,0.6215664000000001,14.643732,4.199278400000001,0.05132031,0.18951328,0.50714195,5.3533800000000005,0.8088978,1.0
1.0,-0.005615155,0.0003296115,0.007577800000000001,0.29966709999999996,0.8588778,0.61768585,14.262459,4.054032,0.004603998,0.19340938,0.51937056,5.477432299999999,0.7525199,1.0
1.0,-0.0061138566,0.00032701729999999997,0.0065388526,0.30195279999999997,0.8621115,0.61380535,13.881186499999998,3.908785,0.045272313,0.19730549,0.5315991,5.601483999999999,0.73389715,1.0
1.0,-0.006612558,0.0003244231,0.0054999045,0.30423853,0.8653453000000001,0.60992485,13.499913000000001,3.7635384,0.09198862,0.20120159,0.54382765,5.725536,0.7210181999999999,1.0
1.0,-0.0068887407,0.0003218289,0.0044609564,0.30652425,0.86857903,0.6060443,13.118641,3.6182915999999996,0.13870494,0.20509769,0.55605626,5.849588,0.730761,1.0
1.0,-0.006390039300000001,0.00031923468,0.0034220088,0.30880997,0.8718128,0.6021638000000001,12.737368,3.4730449,0.18542124,0.2089938,0.5682848,5.9736400000000005,0.83069474,1.0
1.0,-0.005891338,0.00031664048,0.0023830608,0.31109565,0.8750466,0.5982833000000001,12.356095,3.3277980000000005,0.23213756,0.21288991,0.5805134,5.882308,0.9312026,1.0
