like1_1,parlr_RRR,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,parcenter_snow_transfer_function,parroughness_fresh_snow,parroughness_ice,simulation1_1,simulation1_2,simulation1_3,simulation1_4,simulation1_5,simulation1_6,simulation1_7,simulation1_8,simulation1_9,simulation1_10,simulation1_11,simulation1_12,simulation1_13,simulation1_14,simulation1_15,simulation1_16,simulation1_17,simulation1_18,simulation1_19,simulation1_20,simulation1_21,simulation1_22,simulation1_23,simulation1_24,simulation1_25,simulation1_26,simulation1_27,simulation1_28,simulation1_29,simulation1_30,simulation1_31,simulation1_32,simulation1_33,simulation1_34,simulation1_35,simulation1_36,simulation1_37,simulation1_38,simulation1_39,simulation1_40,simulation1_41,simulation1_42,simulation1_43,simulation1_44,simulation1_45,simulation1_46,simulation1_47,simulation1_48,simulation1_49,simulation1_50,simulation1_51,simulation1_52,simulation1_53,simulation1_54,simulation1_55,simulation1_56,simulation1_57,simulation1_58,simulation1_59,simulation1_60,simulation1_61,simulation1_62,simulation2_1,chain
-145.6,0.0001558,0.7285,0.2866,0.893,0.4192,20.16,6.73,0.178,0.4795,3.951,0.0,0.0,0.0,0.05817,0.4963,0.0,0.0,0.4302,0.0,0.0,0.0,0.1348,0.3557,0.0777,0.0,0.0,0.1836,0.2961,0.4302,0.0,0.0,0.0,0.0,0.4302,0.514,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,0.4775,0.0,0.0,0.0,0.0,0.002028,0.3867,0.5557,0.557,0.0,0.0,0.0,0.2336,0.3367,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.044,0.4285,0.2029,0.5854,0.2029,-1.558,1.0
-146.2,0.0001403,0.8525,0.2544,0.8823,0.406,16.55,4.63,0.161,1.917,2.107,0.0,0.0,0.0,0.08154,0.4883,0.0,0.0,0.4404,0.0,0.0,0.0,0.1348,0.3562,0.05817,0.0,0.0,0.1836,0.2974,0.4302,0.0,0.0,0.0,0.0,0.4302,0.5293,0.08154,0.0,0.0,0.0,0.0,0.0,0.0,0.4775,0.0,0.0,0.0,0.0,0.002028,0.401,0.557,0.5615,0.0,0.0,0.0,0.2147,0.3513,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.044,0.4302,0.1837,0.603,0.1931,-1.582,1.0
-146.8,0.000165,0.7583,0.2878,0.884,0.577,19.0,6.348,0.378,1.66,1.243,0.0,0.0,0.0,0.044,0.4746,0.0,0.0,0.4302,0.0,0.0,0.0,0.05817,0.2974,0.05817,0.0,0.0,0.1592,0.2417,0.401,0.0,0.0,0.0,0.0,0.401,0.4302,0.1161,0.0,0.0,0.0,0.0,0.0,0.0,0.4302,0.0,0.0,0.0,0.0,0.0,0.3557,0.514,0.5293,0.0,0.0,0.0,0.2147,0.3289,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.02379,0.401,0.1837,0.557,0.1781,-1.153,1.0
-147.0,0.000106,0.907,0.1833,0.8994,0.4329,16.55,4.723,0.1037,2.023,0.6045,0.0,0.0,0.0,0.02379,0.4705,0.0,0.0,0.4106,0.0,0.0,0.0,0.05817,0.2974,0.05817,0.0,0.0,0.1348,0.2306,0.401,0.0,0.0,0.0,0.0,0.3743,0.4775,0.08154,0.0,0.0,0.0,0.0,0.0,0.0,0.4302,0.0,0.0,0.0,0.0,0.0,0.3396,0.4775,0.5557,0.0,0.0,0.0,0.2147,0.3125,0.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.3867,0.1837,0.5596,0.2029,-1.233,1.0
-147.5,0.0001935,1.288,0.2089,0.7666,0.418,16.7,3.898,0.1758,2.21,0.817,0.0,0.0,0.0,0.1161,0.4197,0.0,0.0,0.4302,0.0,0.0,0.0,0.05817,0.3125,0.044,0.0,0.0,0.1836,0.259,0.4285,0.0,0.0,0.0,0.0,0.2961,0.4673,0.05817,0.0,0.0,0.0,0.0,0.0,0.0,0.4285,0.0,0.0,0.0,0.0,0.002028,0.3557,0.519,0.5557,0.0,0.0,0.0,0.1931,0.3367,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.02379,0.4285,0.1697,0.5635,0.1697,-1.158,1.0
-147.8,0.0001513,0.7705,0.2281,0.8823,0.5776,14.93,6.656,0.275,1.9,1.696,0.0,0.0,0.0,0.05817,0.4883,0.0,0.0,0.4404,0.0,0.0,0.0,0.08154,0.3367,0.05817,0.0,0.0,0.1836,0.2961,0.4285,0.0,0.0,0.0,0.0,0.4285,0.4775,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,0.4404,0.0,0.0,0.0,0.0,0.0,0.396,0.5557,0.557,0.0,0.0,0.0,0.2147,0.3367,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.02379,0.4285,0.1837,0.5806,0.1931,-1.506,1.0
-148.2,0.0001575,1.155,0.3242,0.7686,0.527,15.21,6.21,0.1404,1.149,3.46,0.0,0.0,0.0,0.1161,0.4377,0.0,0.0,0.4302,0.0,0.0,0.0,0.05817,0.2961,0.05817,0.0,0.0,0.1836,0.278,0.4285,0.0,0.0,0.0,0.0,0.2961,0.4673,0.05817,0.0,0.0,0.0,0.0,0.0,0.0,0.4285,0.0,0.0,0.0,0.0,0.002028,0.3557,0.519,0.519,0.0,0.0,0.0,0.1931,0.3484,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.02379,0.4285,0.1697,0.5645,0.1697,-1.164,1.0
-156.6,3.034e-05,0.669,0.3237,0.8965,0.4834,18.84,5.02,0.543,1.143,0.599,0.0,0.0,0.0,0.02379,0.4724,0.0,0.0,0.4404,0.0,0.0,0.0,0.1019,0.3562,0.05817,0.0,0.0,0.1753,0.2417,0.4285,0.0,0.0,0.0,0.0,0.4302,0.5293,0.08154,0.0,0.0,0.0,0.0,0.0,0.0,0.4673,0.0,0.0,0.0,0.0,0.0,0.4285,0.5596,0.567,0.0,0.0,0.0,0.2147,0.3513,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.4302,0.1697,0.603,0.1697,-1.385,1.0
-148.6,0.0001787,1.078,0.2925,0.7783,0.479,22.77,3.459,0.2607,1.348,1.126,0.0,0.0,0.0,0.1161,0.4197,0.0,0.0,0.4302,0.0,0.0,0.0,0.05817,0.3137,0.044,0.0,0.0,0.1836,0.259,0.4285,0.0,0.0,0.0,0.0,0.3125,0.4673,0.05817,0.0,0.0,0.0,0.0,0.0,0.0,0.4285,0.0,0.0,0.0,0.0,0.002028,0.3557,0.519,0.5557,0.0,0.0,0.0,0.1931,0.3513,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.02379,0.4285,0.1697,0.5645,0.1697,-1.138,1.0
-148.8,9.847e-05,0.738,0.2925,0.8965,0.5786,10.766,7.473,0.4443,0.8257,2.99,0.0,0.0,0.0,0.05817,0.4573,0.0,0.0,0.4302,0.0,0.0,0.0,0.08154,0.3367,0.05817,0.0,0.0,0.1753,0.253,0.4285,0.0,0.0,0.0,0.0,0.4285,0.4775,0.1161,0.0,0.0,0.0,0.0,0.0,0.0,0.4302,0.0,0.0,0.0,0.0,0.0,0.396,0.5557,0.557,0.0,0.0,0.0,0.2147,0.3484,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.02379,0.4285,0.1697,0.5854,0.1697,-1.453,1.0
-149.5,2.766e-05,0.754,0.2325,0.893,0.4668,18.7,4.516,0.10114,2.172,0.6934,0.0,0.0,0.0,0.05817,0.5063,0.0,0.0,0.4404,0.0,0.0,0.0,0.08154,0.3562,0.0777,0.0,0.0,0.1836,0.2961,0.4404,0.0,0.0,0.0,0.0,0.4404,0.5293,0.08154,0.0,0.0,0.0,0.0,0.0,0.0,0.5054,0.0,0.0,0.0,0.0,0.0,0.401,0.5596,0.5806,0.0,0.0,0.0,0.2336,0.3513,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.044,0.4302,0.2029,0.62,0.2029,-1.625,1.0
-149.4,3.284e-05,0.887,0.218,0.843,0.548,22.52,5.797,0.135,1.301,3.855,0.0,0.0,0.0,0.002028,0.4912,0.0,0.0,0.4285,0.0,0.0,0.0,0.002028,0.278,0.05817,0.0,0.0,0.1161,0.2261,0.401,0.0,0.0,0.0,0.0,0.2961,0.4302,0.0911,0.0,0.0,0.0,0.0,0.0,0.0,0.4285,0.0,0.0,0.0,0.0,0.0,0.3289,0.4927,0.519,0.0,0.0,0.0,0.2147,0.3215,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.3723,0.1837,0.557,0.1931,-1.281,1.0
-149.0,0.0001296,0.977,0.2192,0.8613,0.5796,5.812,7.562,0.1727,1.535,1.462,0.0,0.0,0.0,0.1161,0.4573,0.0,0.0,0.4604,0.0,0.0,0.0,0.08154,0.3513,0.05817,0.0,0.0,0.1836,0.2961,0.4302,0.0,0.0,0.0,0.0,0.366,0.4927,0.1161,0.0,0.0,0.0,0.0,0.0,0.0,0.519,0.0,0.0,0.0,0.0,0.002028,0.3867,0.558,0.5596,0.0,0.0,0.0,0.2029,0.3562,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.02379,0.4285,0.1781,0.614,0.1837,-1.582,1.0
-149.0,3.433e-05,0.647,0.2363,0.896,0.5483,19.28,4.13,0.4841,1.51,1.76,0.0,0.0,0.0,0.044,0.4912,0.0,0.0,0.4426,0.0,0.0,0.0,0.0911,0.3513,0.05817,0.0,0.0,0.1753,0.2656,0.4302,0.0,0.0,0.0,0.0,0.4302,0.514,0.08154,0.0,0.0,0.0,0.0,0.0,0.0,0.4775,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.5596,0.0,0.0,0.0,0.2261,0.3513,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.02379,0.4302,0.1837,0.603,0.1697,-1.646,1.0
-148.9,0.0001796,0.8936,0.194,0.809,0.5444,22.55,7.746,0.1909,2.242,0.9604,0.0,0.0,0.002028,0.1348,0.4705,0.0,0.0,0.4775,0.0,0.0,0.0,0.1161,0.3557,0.0669,0.0,0.0,0.1876,0.3052,0.4302,0.0,0.0,0.0,0.0,0.4019,0.4927,0.1592,0.0,0.0,0.0,0.0,0.0,0.002028,0.519,0.0,0.0,0.0,0.0,0.02379,0.4285,0.557,0.5615,0.0,0.0,0.0,0.2147,0.4019,0.4775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05817,0.02379,0.4673,0.1837,0.614,0.1931,-1.746,1.0
-150.1,0.0001663,1.064,0.2815,0.773,0.572,17.47,5.793,0.1357,1.432,2.73,0.0,0.0,0.0,0.1161,0.4426,0.0,0.0,0.4302,0.0,0.0,0.0,0.05817,0.3137,0.05817,0.0,0.0,0.1836,0.2961,0.4285,0.0,0.0,0.0,0.0,0.3125,0.4673,0.1161,0.0,0.0,0.0,0.0,0.0,0.0,0.4302,0.0,0.0,0.0,0.0,0.002028,0.3562,0.519,0.5557,0.0,0.0,0.0,0.2029,0.3513,0.4673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.02379,0.4285,0.1697,0.5645,0.1837,-1.329,1.0
-150.1,7.075e-05,0.7905,0.2642,0.859,0.4912,20.88,5.984,0.4104,1.688,3.676,0.0,0.0,0.0,0.05817,0.4573,0.0,0.0,0.4404,0.0,0.0,0.0,0.08154,0.3513,0.05817,0.0,0.0,0.1836,0.2417,0.4285,0.0,0.0,0.0,0.0,0.4285,0.4775,0.1161,0.0,0.0,0.0,0.0,0.0,0.0,0.4673,0.0,0.0,0.0,0.0,0.0,0.401,0.557,0.557,0.0,0.0,0.0,0.2029,0.3513,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.02379,0.4302,0.1697,0.5854,0.1697,-1.577,1.0
