like1,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,paraging_factor_roughness,parroughness_fresh_snow,parroughness_ice,simulation1_1,simulation2_1,simulation2_2,simulation2_3,simulation2_4,simulation2_5,simulation2_6,simulation2_7,simulation2_8,simulation2_9,simulation2_10,simulation2_11,simulation2_12,simulation2_13,simulation2_14,simulation2_15,simulation2_16,simulation2_17,simulation2_18,simulation2_19,simulation2_20,simulation2_21,simulation2_22,simulation2_23,simulation2_24,simulation2_25,simulation2_26,simulation2_27,simulation2_28,simulation2_29,simulation2_30,simulation2_31,simulation2_32,simulation2_33,simulation2_34,simulation2_35,simulation2_36,simulation2_37,simulation2_38,simulation2_39,simulation2_40,simulation2_41,simulation2_42,simulation2_43,simulation2_44,simulation2_45,simulation2_46,simulation2_47,simulation2_48,simulation2_49,simulation2_50,simulation2_51,simulation2_52,simulation2_53,simulation2_54,simulation2_55,simulation2_56,simulation2_57,simulation2_58,simulation2_59,simulation2_60,simulation2_61,simulation2_62,chain
-34033.688,0.35897982,0.23066796,0.8138931,0.51544905,10.226958,9.131174,0.0050511407,0.93986195,1.3726455,-4.4356585,0.0,0.0,0.41796875,0.57421875,0.98046875,0.0,0.0,0.92578125,0.0,0.07421875,0.24609375,0.83984375,0.9296875,0.0,0.0,0.0,0.98046875,0.99609375,0.6484375,0.1171875,0.0,0.0,0.0,0.38671875,0.875,0.98046875,0.99609375,0.0,0.0,0.0,0.20703125,0.76171875,0.5,0.0,0.0,0.0,0.0,0.51953125,0.5,0.78515625,0.98046875,0.9375,0.0,0.0,0.96484375,0.45703125,0.9140625,0.69140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26171875,0.41796875,0.61328125,0.91015625,0.99609375,0.5,0.58203125,1.0
-4156.9175,1.0214294,0.22958884,0.81202257,0.51231956,9.782412,8.575887,0.005046824,0.855308,1.1746024,-1.4059488,0.0,0.0,0.0,0.01171875,0.51953125,0.0,0.0,0.26171875,0.0,0.0,0.0,0.23046875,0.36328125,0.0,0.0,0.0,0.41796875,0.45703125,0.28515625,0.0,0.0,0.0,0.0,0.0,0.21484375,0.48046875,0.42578125,0.0,0.0,0.0,0.0,0.15234375,0.53515625,0.0,0.0,0.0,0.0,0.0,0.55859375,0.45703125,0.58203125,0.21484375,0.0,0.0,0.49609375,0.0,0.27734375,0.56640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26171875,0.45703125,0.61328125,0.47265625,1.0
-9916.514,1.6838791,0.2285097,0.81015205,0.5091901,9.337865,8.020598,0.005042508,0.77075404,0.9765592,0.6469271,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,0.0,0.0,0.0,0.0,0.20703125,0.19140625,0.0,0.0,0.0,0.0,0.0,0.0,0.23828125,0.25390625,0.0,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.26171875,0.32421875,0.33203125,0.0,0.0,0.0,0.34765625,0.0,0.0,0.36328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13671875,0.29296875,0.36328125,1.0
-21484.432,2.3463287,0.22743057,0.80828154,0.5060606,8.893317,7.465311,0.005038191,0.6862001,0.77851605,2.3346753,0.0,0.0,0.0,0.0,0.10546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09765625,0.0,0.0,0.0,0.0,0.0,0.0,0.15234375,0.16015625,0.0,0.0,0.0,0.19921875,0.0,0.0,0.21484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21484375,1.0
-25983.14,2.9912217,0.22635143,0.806411,0.50293106,8.4487705,6.910023,0.0050338744,0.6016461,0.5804729,3.8216007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01171875,0.0,0.0,0.03515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-21230.0,2.328772,0.22527228,0.8045405,0.49980158,8.004224,6.3547354,0.005029558,0.51709217,0.38242972,2.2924428,0.0,0.0,0.0,0.0,0.11328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10546875,0.0,0.0,0.0,0.0,0.0,0.0,0.15234375,0.18359375,0.0,0.0,0.0,0.19921875,0.0,0.0,0.21484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21484375,1.0
-9624.342,1.6663224,0.22419316,0.80267006,0.4966721,7.5596776,5.7994475,0.0050252415,0.4325382,0.18438654,0.598004,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.00390625,0.21484375,0.19140625,0.0,0.0,0.0,0.0,0.0,0.0,0.24609375,0.26171875,0.0,0.0,0.0,0.0,0.0,0.29296875,0.0,0.0,0.0,0.0,0.0,0.26953125,0.33203125,0.33984375,0.0,0.0,0.0,0.35546875,0.0,0.0,0.37109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15234375,0.29296875,0.37109375,1.0
-4247.0034,1.0038726,0.22311401,0.80079955,0.49354258,7.1151304,5.2441597,0.005020925,0.34798425,0.22965662,-1.4699434,0.0,0.0,0.0,0.01171875,0.51953125,0.0,0.0,0.26953125,0.0,0.0,0.0,0.23828125,0.37109375,0.0,0.0,0.0,0.41796875,0.47265625,0.29296875,0.0,0.0,0.0,0.0,0.0,0.22265625,0.49609375,0.42578125,0.0,0.0,0.0,0.0,0.16015625,0.55859375,0.0,0.0,0.0,0.0,0.0,0.56640625,0.46484375,0.6015625,0.21484375,0.0,0.0,0.49609375,0.0,0.28515625,0.56640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27734375,0.45703125,0.62109375,0.47265625,1.0
-33735.977,0.34142303,0.22203487,0.79892904,0.4904131,6.6705837,4.688872,0.005016608,0.2634303,0.42769977,-4.544438,0.0,0.0,0.42578125,0.58203125,0.99609375,0.0,0.0,0.9296875,0.0,0.12109375,0.27734375,0.87890625,0.9375,0.0,0.0,0.0,0.99609375,0.5,0.66796875,0.1953125,0.0,0.0,0.0,0.41796875,0.8984375,0.98046875,0.5,0.0,0.0,0.0,0.23828125,0.79296875,0.5,0.0,0.0,0.0,0.03515625,0.61328125,0.5,0.80859375,0.98828125,0.9453125,0.0,0.0,0.98046875,0.48828125,0.9296875,0.828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28515625,0.45703125,0.6484375,0.921875,0.5,0.5,0.58203125,1.0
-4417.9907,0.9830266,0.22095574,0.7970585,0.4872836,6.226037,4.1335845,0.005012292,0.22512367,0.625743,-1.5472362,0.0,0.0,0.0,0.0390625,0.53515625,0.0,0.0,0.27734375,0.0,0.0,0.0,0.24609375,0.37890625,0.0,0.0,0.0,0.42578125,0.49609375,0.29296875,0.0,0.0,0.0,0.0,0.0,0.23828125,0.50390625,0.4375,0.0,0.0,0.0,0.0,0.18359375,0.57421875,0.0,0.0,0.0,0.0,0.0,0.58203125,0.47265625,0.61328125,0.22265625,0.0,0.0,0.51171875,0.0,0.30078125,0.57421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27734375,0.45703125,0.625,0.47265625,1.0
