like1_1,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,parcenter_snow_transfer_function,parspread_snow_transfer_function,parroughness_fresh_snow,parroughness_ice,simulation1_1,simulation1_2,simulation1_3,simulation1_4,simulation1_5,simulation1_6,simulation1_7,simulation1_8,simulation1_9,simulation1_10,simulation1_11,simulation1_12,simulation1_13,simulation1_14,simulation1_15,simulation1_16,simulation1_17,simulation1_18,simulation1_19,simulation1_20,simulation1_21,simulation1_22,simulation1_23,simulation1_24,simulation1_25,simulation1_26,simulation1_27,simulation1_28,simulation1_29,simulation1_30,simulation1_31,simulation1_32,simulation1_33,simulation1_34,simulation1_35,simulation1_36,simulation1_37,simulation1_38,simulation1_39,simulation1_40,simulation1_41,simulation1_42,simulation1_43,simulation1_44,simulation1_45,simulation1_46,simulation1_47,simulation1_48,simulation1_49,simulation1_50,simulation1_51,simulation1_52,simulation1_53,simulation1_54,simulation1_55,simulation1_56,simulation1_57,simulation1_58,simulation1_59,simulation1_60,simulation1_61,simulation1_62,simulation2_1,chain
-143.20657,1.092,0.244,0.939,0.4026,6.57,3.11,-0.4902,2.832,2.514,1.598,0.0,0.0,0.0,0.09192248,0.5556297,0.0,0.0,0.31364483,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.46735063,0.51908755,0.3973087,0.0,0.0,0.0,0.0,0.0,0.18365814,0.48243654,0.39531338,0.0,0.0,0.0,0.0,0.09192248,0.5571127,0.0,0.0,0.0,0.0,0.0,0.5925788,0.534237,0.59488,0.19346675,0.0,0.0,0.51784885,0.0,0.2243551,0.5707088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158096,0.26442125,0.48243654,0.6135471,0.29135105,-1.0006051,1.0
-143.18358,1.092,0.244,0.939,0.4026,6.57,3.11,-0.4902,2.832,2.514,2.115,0.0,0.0,0.0,0.09192248,0.5556297,0.0,0.0,0.31364483,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.46735063,0.51908755,0.3973087,0.0,0.0,0.0,0.0,0.0,0.18365814,0.48243654,0.39531338,0.0,0.0,0.0,0.0,0.09192248,0.5571127,0.0,0.0,0.0,0.0,0.0,0.5925788,0.534237,0.59488,0.19346675,0.0,0.0,0.51784885,0.0,0.2243551,0.5707088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158096,0.26442125,0.48243654,0.6135471,0.29135105,-1.0287485,1.0
-148.7186,1.092,0.2214,0.9326,0.443,5.08,3.916,-0.3193,2.705,2.297,6.48,0.0,0.0,0.0,0.058158096,0.5556297,0.0,0.0,0.31364483,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.43020055,0.51908755,0.3973087,0.0,0.0,0.0,0.0,0.0,0.18365814,0.48243654,0.39531338,0.0,0.0,0.0,0.0,0.09192248,0.5910958,0.0,0.0,0.0,0.0,0.0,0.5925788,0.5306336,0.5925788,0.2425245,0.0,0.0,0.51784885,0.0,0.20484361,0.54368013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044016067,0.2780329,0.48243654,0.59488,0.2810185,-1.2057822,1.0
-144.38757,1.092,0.244,0.939,0.4026,6.57,3.72,-0.4902,2.832,2.514,2.115,0.0,0.0,0.0,0.09192248,0.5556297,0.0,0.0,0.3159818,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.46735063,0.51908755,0.3973087,0.0,0.0,0.0,0.0,0.0,0.18365814,0.48243654,0.39531338,0.0,0.0,0.0,0.0,0.09192248,0.5571127,0.0,0.0,0.0,0.0,0.0,0.5925788,0.534237,0.59488,0.2425245,0.0,0.0,0.52549523,0.0,0.2243551,0.5707088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158096,0.26442125,0.48243654,0.6135471,0.29135105,-1.0399961,1.0
-148.04506,1.092,0.2461,0.925,0.4429,5.08,3.916,-0.3193,2.705,2.297,6.48,0.0,0.0,0.0,0.058158096,0.5556297,0.0,0.0,0.3159818,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.46735063,0.51908755,0.3973087,0.0,0.0,0.0,0.0,0.0,0.18365814,0.48243654,0.39531338,0.0,0.0,0.0,0.0,0.09192248,0.5925788,0.0,0.0,0.0,0.0,0.0,0.5925788,0.5319359,0.5925788,0.2425245,0.0,0.0,0.51784885,0.0,0.22612517,0.5445696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044016067,0.2962023,0.48243654,0.6135471,0.2810185,-1.195916,1.0
-148.04506,1.092,0.2461,0.925,0.4429,5.08,3.916,-0.3193,2.705,2.297,6.48,0.0,0.0,0.0,0.058158096,0.5556297,0.0,0.0,0.3159818,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.46735063,0.51908755,0.3973087,0.0,0.0,0.0,0.0,0.0,0.18365814,0.48243654,0.39531338,0.0,0.0,0.0,0.0,0.09192248,0.5925788,0.0,0.0,0.0,0.0,0.0,0.5925788,0.5319359,0.5925788,0.2425245,0.0,0.0,0.51784885,0.0,0.22612517,0.5445696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044016067,0.2962023,0.48243654,0.6135471,0.2810185,-1.195916,1.0
-148.04506,1.092,0.2461,0.925,0.4429,5.08,3.916,-0.3193,2.705,2.297,6.48,0.0,0.0,0.0,0.058158096,0.5556297,0.0,0.0,0.3159818,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.46735063,0.51908755,0.3973087,0.0,0.0,0.0,0.0,0.0,0.18365814,0.48243654,0.39531338,0.0,0.0,0.0,0.0,0.09192248,0.5925788,0.0,0.0,0.0,0.0,0.0,0.5925788,0.5319359,0.5925788,0.2425245,0.0,0.0,0.51784885,0.0,0.22612517,0.5445696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044016067,0.2962023,0.48243654,0.6135471,0.2810185,-1.195916,1.0
-145.96411,1.092,0.25,0.9453,0.4026,6.57,7.348,-0.4902,2.85,2.514,2.115,0.0,0.0,0.0,0.09192248,0.5556297,0.0,0.0,0.31364483,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.46735063,0.51908755,0.40179446,0.0,0.0,0.0,0.0,0.0,0.1835539,0.5089156,0.48050955,0.0,0.0,0.0,0.0,0.09192248,0.5571127,0.0,0.0,0.0,0.0,0.0,0.5644028,0.5520417,0.59488,0.3702761,0.0,0.0,0.534237,0.0,0.2243551,0.5707088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158096,0.2780329,0.48243654,0.6135471,0.29135105,-1.0475463,1.0
-149.07211,1.092,0.3708,0.925,0.4429,5.08,6.375,-0.3193,2.705,2.297,5.215,0.0,0.0,0.0,0.058158096,0.5556297,0.0,0.0,0.3159818,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.46735063,0.51908755,0.3973087,0.0,0.0,0.0,0.0,0.0,0.18365814,0.5089156,0.39531338,0.0,0.0,0.0,0.0,0.09192248,0.5925788,0.0,0.0,0.0,0.0,0.0,0.5925788,0.5319359,0.5925788,0.2425245,0.0,0.0,0.51784885,0.0,0.24563666,0.5445696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044016067,0.2962023,0.48243654,0.6135471,0.2810185,-0.94284165,1.0
-140.77638,1.092,0.351,0.9453,0.4026,6.57,5.863,-0.4902,2.85,2.514,3.857,0.0,0.0,0.0,0.09192248,0.5556297,0.0,0.0,0.3125941,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.43020055,0.51908755,0.40179446,0.0,0.0,0.0,0.0,0.0,0.1835539,0.5089156,0.39531338,0.0,0.0,0.0,0.0,0.09192248,0.5571127,0.0,0.0,0.0,0.0,0.0,0.5644028,0.55039954,0.59488,0.2425245,0.0,0.0,0.5329348,0.0,0.2243551,0.5707088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158096,0.26442125,0.48243654,0.6135471,0.29135105,-0.90082,1.0
-147.90347,1.092,0.2461,0.925,0.4429,5.08,3.916,-0.3193,2.705,2.297,5.215,0.0,0.0,0.0,0.058158096,0.5556297,0.0,0.0,0.3159818,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.46735063,0.51908755,0.3973087,0.0,0.0,0.0,0.0,0.0,0.18365814,0.48243654,0.39531338,0.0,0.0,0.0,0.0,0.09192248,0.5925788,0.0,0.0,0.0,0.0,0.0,0.5925788,0.5319359,0.5925788,0.2425245,0.0,0.0,0.51784885,0.0,0.22612517,0.5445696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044016067,0.2962023,0.48243654,0.6135471,0.2810185,-1.1603631,1.0
-159.58638,1.2705,0.1859,0.9365,0.4333,3.844,12.56,-0.361,2.598,3.518,1.473,0.0,0.0,0.0,0.07771606,0.5556297,0.0,0.0,0.3125941,0.0,0.0,0.0,0.1835539,0.40179446,0.0,0.0,0.0,0.428485,0.5089156,0.428485,0.0,0.0,0.0,0.0,0.0,0.18365814,0.5089156,0.48050955,0.0,0.0,0.0,0.0,0.09192248,0.5910958,0.0,0.0,0.0,0.0,0.0,0.5925788,0.5571127,0.5925788,0.4580056,0.0,0.0,0.5319359,0.0,0.25318584,0.54368013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044016067,0.29959002,0.48243654,0.59488,0.2810185,-1.0996392,1.0
-157.91612,1.2705,0.1859,0.9365,0.4333,3.844,11.84,-0.361,2.598,3.518,1.473,0.0,0.0,0.0,0.07771606,0.5556297,0.0,0.0,0.3125941,0.0,0.0,0.0,0.1835539,0.40179446,0.0,0.0,0.0,0.428485,0.5089156,0.40179446,0.0,0.0,0.0,0.0,0.0,0.18365814,0.5089156,0.48050955,0.0,0.0,0.0,0.0,0.09192248,0.5910958,0.0,0.0,0.0,0.0,0.0,0.5925788,0.5571127,0.5925788,0.4580056,0.0,0.0,0.5319359,0.0,0.25009653,0.54368013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044016067,0.29959002,0.48243654,0.59488,0.2810185,-1.0942687,1.0
