like1,parlr_T,parlr_RRR,parlr_RH,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,chain
-156.1,-0.006287,0.0001473,0.002182,1.54,0.2029,0.765,0.629,21.92,5.188,3850.0,3918.0,3926.0,3932.0,3888.0,3932.0,3966.0,3988.0,4006.0,4008.0,4024.0,4024.0,3818.0,3926.0,3992.0,4024.0,4024.0,3818.0,3858.0,3900.0,3992.0,3992.0,4024.0,4024.0,4024.0,3868.0,3932.0,3966.0,3992.0,4008.0,4024.0,4024.0,3754.0,3888.0,4006.0,3918.0,3992.0,4010.0,4024.0,4024.0,3926.0,3754.0,3868.0,3888.0,3926.0,3818.0,3888.0,3932.0,4010.0,4024.0,4024.0,3774.0,3850.0,3912.0,3978.0,4024.0,4024.0,0.0
-156.9,-0.006145,0.00011504,0.00293,1.551,0.2035,0.7544,0.6216,22.61,4.457,3850.0,3912.0,3926.0,3944.0,3868.0,3944.0,3978.0,3992.0,4006.0,4024.0,4024.0,4024.0,3768.0,3926.0,4006.0,4024.0,4024.0,3818.0,3858.0,3912.0,3992.0,4006.0,4024.0,4024.0,4024.0,3868.0,3932.0,3976.0,3992.0,4010.0,4024.0,4024.0,3754.0,3888.0,3992.0,3918.0,3992.0,4024.0,4024.0,4024.0,3792.0,3754.0,3850.0,3888.0,3918.0,3768.0,3888.0,3932.0,4024.0,4024.0,4024.0,3762.0,3830.0,3912.0,3976.0,4024.0,4024.0,0.0
-152.4,-0.0061,0.0001628,0.02133,1.564,0.2118,0.755,0.626,22.34,3.83,3850.0,3912.0,3926.0,3940.0,3890.0,3940.0,3978.0,3992.0,4006.0,4024.0,4024.0,4024.0,3830.0,3932.0,4006.0,4024.0,4024.0,3818.0,3858.0,3912.0,3992.0,4006.0,3980.0,4024.0,4024.0,3878.0,3940.0,3978.0,3992.0,4010.0,4024.0,4024.0,3754.0,3888.0,3992.0,3926.0,4006.0,4024.0,4024.0,4024.0,3754.0,3754.0,3858.0,3888.0,3918.0,3818.0,3890.0,3944.0,4024.0,4024.0,4024.0,3762.0,3850.0,3918.0,3978.0,4024.0,4024.0,0.0
-147.4,-0.006264,0.0001606,0.02637,1.573,0.1997,0.7515,0.6216,21.69,5.594,3864.0,3926.0,3944.0,3976.0,3912.0,3976.0,3992.0,4006.0,4024.0,4024.0,4036.0,4044.0,3858.0,3944.0,4024.0,4044.0,4044.0,3858.0,3888.0,3926.0,4006.0,4024.0,4044.0,4044.0,4044.0,3912.0,3966.0,3992.0,4010.0,4036.0,4044.0,4044.0,3762.0,3912.0,4010.0,3932.0,4010.0,4044.0,4044.0,4044.0,3932.0,3754.0,3868.0,3910.0,3932.0,3858.0,3918.0,3976.0,4044.0,4044.0,4044.0,3774.0,3868.0,3932.0,3992.0,4030.0,4044.0,0.0
-144.2,-0.00618,0.0001681,0.04285,1.56,0.2181,0.744,0.609,21.45,7.47,3900.0,3944.0,3992.0,4008.0,3932.0,4008.0,4024.0,4036.0,4044.0,4068.0,4088.0,4088.0,3912.0,3992.0,4064.0,4088.0,4088.0,3888.0,3918.0,3944.0,4036.0,4060.0,4088.0,4088.0,4088.0,3932.0,3992.0,4024.0,4044.0,4088.0,4088.0,4088.0,3900.0,3932.0,4088.0,3978.0,4044.0,4088.0,4088.0,4088.0,4030.0,3848.0,3888.0,3926.0,3976.0,3890.0,3940.0,4006.0,4064.0,4088.0,4088.0,3762.0,3912.0,3978.0,4026.0,4064.0,4088.0,0.0
-145.2,-0.00686,0.0001476,0.0403,1.547,0.2345,0.73,0.6045,21.6,7.09,3932.0,4010.0,4036.0,4064.0,3992.0,4068.0,4064.0,4088.0,4092.0,4108.0,4110.0,4116.0,3944.0,4036.0,4108.0,4148.0,4150.0,3932.0,3966.0,3992.0,4092.0,4108.0,4150.0,4150.0,4150.0,3992.0,4044.0,4086.0,4100.0,4150.0,4150.0,4150.0,3912.0,3980.0,4110.0,4010.0,4092.0,4132.0,4150.0,4150.0,4020.0,3900.0,3926.0,3980.0,4010.0,3926.0,3992.0,4044.0,4108.0,4150.0,4150.0,3804.0,3932.0,4008.0,4060.0,4108.0,4150.0,0.0
-140.2,-0.00684,0.0001557,0.0494,1.545,0.2351,0.7363,0.6055,19.69,7.63,3926.0,4006.0,4010.0,4044.0,3978.0,4044.0,4060.0,4064.0,4086.0,4100.0,4108.0,4108.0,3926.0,4024.0,4100.0,4108.0,4108.0,3926.0,3944.0,3992.0,4088.0,4108.0,4108.0,4108.0,4108.0,3978.0,4024.0,4060.0,4092.0,4108.0,4108.0,4108.0,3926.0,3966.0,4108.0,4008.0,4092.0,4108.0,4108.0,4108.0,4048.0,3890.0,3926.0,3966.0,4010.0,3926.0,3992.0,4036.0,4108.0,4108.0,4108.0,3804.0,3940.0,4006.0,4052.0,4108.0,4108.0,0.0
-141.2,-0.00639,0.00011665,0.04788,1.551,0.2379,0.73,0.6035,19.2,7.04,3918.0,3992.0,4008.0,4044.0,3940.0,4044.0,4060.0,4088.0,4088.0,4108.0,4110.0,4110.0,3918.0,4008.0,4108.0,4110.0,4120.0,3912.0,3926.0,3992.0,4088.0,4108.0,4120.0,4120.0,4120.0,3932.0,4010.0,4052.0,4088.0,4110.0,4120.0,4120.0,3792.0,3932.0,4088.0,3992.0,4088.0,4108.0,4120.0,4120.0,3992.0,3866.0,3910.0,3932.0,4008.0,3890.0,3944.0,4010.0,4108.0,4120.0,4120.0,3774.0,3926.0,3992.0,4036.0,4108.0,4120.0,0.0
-140.8,-0.00621,0.0001357,0.06238,1.555,0.2438,0.7236,0.6123,19.75,6.33,3918.0,3992.0,4008.0,4036.0,3944.0,4036.0,4064.0,4086.0,4088.0,4108.0,4120.0,4120.0,3926.0,4008.0,4110.0,4092.0,4120.0,3912.0,3932.0,3992.0,4088.0,4108.0,4120.0,4120.0,4120.0,3944.0,4024.0,4064.0,4088.0,4120.0,4120.0,4120.0,3754.0,3944.0,4088.0,3992.0,4088.0,4110.0,4120.0,4120.0,3932.0,3838.0,3910.0,3932.0,4006.0,3900.0,3932.0,4010.0,4108.0,4120.0,4120.0,3762.0,3926.0,3992.0,4044.0,4108.0,4120.0,0.0
-143.6,-0.006214,0.000138,0.07513,1.549,0.2493,0.7217,0.61,20.84,7.152,3918.0,4006.0,4008.0,4064.0,3932.0,4044.0,4074.0,4088.0,4088.0,4120.0,4120.0,4120.0,3926.0,4010.0,4092.0,4120.0,4120.0,3912.0,3932.0,3992.0,4088.0,4120.0,4120.0,4120.0,4120.0,3932.0,4036.0,4074.0,4088.0,4120.0,4120.0,4120.0,3754.0,3944.0,4116.0,4006.0,4092.0,4150.0,4120.0,4120.0,3932.0,3754.0,3888.0,3932.0,4008.0,3900.0,3932.0,4030.0,4116.0,4120.0,4120.0,3762.0,3926.0,4006.0,4044.0,4120.0,4120.0,0.0
-144.0,-0.006046,0.0001383,0.0844,1.544,0.2588,0.719,0.6187,20.58,6.54,3912.0,3992.0,4008.0,4036.0,3932.0,4036.0,4048.0,4088.0,4088.0,4120.0,4092.0,4092.0,3912.0,4008.0,4092.0,4092.0,4120.0,3792.0,3916.0,3932.0,4088.0,4088.0,4120.0,4120.0,4120.0,3944.0,4008.0,4068.0,4088.0,4120.0,4120.0,4120.0,3754.0,3926.0,4088.0,3992.0,4088.0,4150.0,4150.0,4120.0,3752.0,3754.0,3864.0,3926.0,3976.0,3792.0,3932.0,4008.0,4116.0,4120.0,4120.0,3762.0,3926.0,3992.0,4044.0,4110.0,4120.0,0.0
-156.6,-0.006023,0.0001502,0.0763,1.564,0.2487,0.707,0.6304,21.38,7.164,3944.0,4010.0,4064.0,4088.0,3992.0,4088.0,4088.0,4116.0,4120.0,4150.0,4176.0,4176.0,3932.0,4074.0,4176.0,4176.0,4176.0,3932.0,3932.0,4008.0,4120.0,4156.0,4176.0,4176.0,4176.0,3992.0,4086.0,4108.0,4150.0,4176.0,4176.0,4176.0,3754.0,3976.0,4156.0,4030.0,4120.0,4150.0,4176.0,4176.0,3932.0,3754.0,3912.0,3932.0,4008.0,3932.0,4006.0,4060.0,4150.0,4176.0,4176.0,3762.0,3932.0,4008.0,4088.0,4120.0,4176.0,0.0
-157.0,-0.005894,0.0001363,0.0762,1.544,0.2664,0.704,0.638,21.98,7.477,3932.0,4036.0,4088.0,4088.0,3992.0,4088.0,4088.0,4092.0,4120.0,4176.0,4176.0,4176.0,3932.0,4088.0,4176.0,4176.0,4176.0,3944.0,3932.0,4008.0,4120.0,4150.0,4176.0,4176.0,4176.0,3992.0,4088.0,4120.0,4150.0,4176.0,4176.0,4176.0,3754.0,3992.0,4176.0,4036.0,4120.0,4176.0,4176.0,4176.0,3888.0,3754.0,3912.0,3932.0,4008.0,3932.0,4008.0,4064.0,4176.0,4176.0,4176.0,3762.0,3932.0,4008.0,4088.0,4150.0,4176.0,0.0
-172.6,-0.00584,0.000126,0.0715,1.546,0.252,0.69,0.631,21.77,7.79,4008.0,4088.0,4120.0,4176.0,4008.0,4176.0,4176.0,4176.0,4184.0,4170.0,4170.0,4200.0,4008.0,4120.0,4200.0,4204.0,4204.0,3992.0,4008.0,4088.0,4176.0,4184.0,4204.0,4204.0,4204.0,4036.0,4120.0,4176.0,4184.0,4200.0,4204.0,4204.0,3756.0,4036.0,4170.0,4088.0,4176.0,4170.0,4204.0,4204.0,4008.0,3876.0,3932.0,4008.0,4008.0,3992.0,4060.0,4092.0,4184.0,4170.0,4170.0,3762.0,4008.0,4088.0,4150.0,4184.0,4204.0,0.0
-159.5,-0.00553,0.00012004,0.0714,1.539,0.2515,0.7026,0.6387,22.27,7.875,3932.0,4036.0,4008.0,4088.0,3932.0,4088.0,4088.0,4120.0,4150.0,4176.0,4176.0,4176.0,3932.0,4088.0,4176.0,4176.0,4176.0,3932.0,3932.0,4008.0,4120.0,4176.0,4176.0,4176.0,4176.0,3992.0,4088.0,4092.0,4176.0,4176.0,4176.0,4176.0,3754.0,3932.0,4176.0,4010.0,4120.0,4176.0,4176.0,4176.0,4008.0,3754.0,3900.0,3932.0,4008.0,3926.0,4006.0,4056.0,4176.0,4176.0,4176.0,3754.0,3932.0,4008.0,4088.0,4176.0,4176.0,0.0
